date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:55	44290/44290	---M-Z	200	added ('OK')	text/html	etag:%22ad02-5a6529ca7a100-gzip%22	http://exill.dk/demo/kitzu/template/index.html	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/index.html	(from )
11:16:56	179/179	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Jul%202020%2005:46:57%20GMT	http://exill.dk/robots.txt		(from )
11:16:57	4128/4128	---M--	200	added ('OK')	image/png	etag:%221020-5a652add043b5%22	http://exill.dk/demo/kitzu/template/img/favicons/apple-touch-icon.png	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/favicons/apple-touch-icon.png	(from http://exill.dk/demo/kitzu/template/index.html)
11:16:57	652/652	---M--	200	added ('OK')	image/png	etag:%2228c-5a652add9d8e6%22	http://exill.dk/demo/kitzu/template/img/favicons/favicon-32x32.png	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/favicons/favicon-32x32.png	(from http://exill.dk/demo/kitzu/template/index.html)
11:16:58	366/366	---M--	200	added ('OK')	image/png	etag:%2216e-5a652add4b85d%22	http://exill.dk/demo/kitzu/template/img/favicons/favicon-16x16.png	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/favicons/favicon-16x16.png	(from http://exill.dk/demo/kitzu/template/index.html)
11:16:59	156196/156196	---M-Z	200	added ('OK')	text/css	etag:%2226224-5a6529ea96fcd-gzip%22	http://exill.dk/demo/kitzu/template/css/bootstrap-custom.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/css/bootstrap-custom.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:16:59	46588/46588	---M-Z	200	added ('OK')	text/css	etag:%22b5fc-5a652a05a0129-gzip%22	http://exill.dk/demo/kitzu/template/css/ionicons.min.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/css/ionicons.min.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:00	2058/2058	---M-Z	200	added ('OK')	text/css	etag:%2280a-5a6529f6afc03-gzip%22	http://exill.dk/demo/kitzu/template/css/tiny-slider.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/css/tiny-slider.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:01	3383/3383	---M-Z	200	added ('OK')	text/css	etag:%22d37-5a6529f2864ad-gzip%22	http://exill.dk/demo/kitzu/template/css/lity.min.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/css/lity.min.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:01	2706/2706	---M-Z	200	added ('OK')	text/css	etag:%22a92-5a6529f5ea7ad-gzip%22	http://exill.dk/demo/kitzu/template/css/simplebar.min.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/css/simplebar.min.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:02	9177/9177	---M-Z	200	added ('OK')	text/css	etag:%2223d9-5a6529f1d0a59-gzip%22	http://exill.dk/demo/kitzu/template/css/jquery.mb.YTPlayer.min.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/css/jquery.mb.YTPlayer.min.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:02	31509/31509	---M-Z	200	added ('OK')	text/css	etag:%227b15-5a6529f5485db-gzip%22	http://exill.dk/demo/kitzu/template/css/main.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/css/main.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:03	5237/5237	---M-Z	200	added ('OK')	text/css	etag:%221475-5a652accfba10-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-darkgreen.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/css/colors/main-darkgreen.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:04	255/255	---M-Z	200	added ('OK')	text/css	etag:%22ff-5a6529ddad3bf-gzip%22	http://exill.dk/demo/kitzu/template/css/custom.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/css/custom.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:04	2045/2045	---M-Z	200	added ('OK')	text/css	etag:%227fd-5a6529b254415-gzip%22	http://exill.dk/demo/kitzu/customizer/main.css	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/customizer/main.css	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:05	2531/2531	---M--	200	added ('OK')	image/png	etag:%229e3-5a652a4315e53%22	http://exill.dk/demo/kitzu/template/img/img-kitzu-logo.png	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/img-kitzu-logo.png	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:09	7759/7759	---M--	200	added ('OK')	image/jpeg	etag:%221e4f-5a652a2f0027b%22	http://exill.dk/demo/kitzu/template/img/client-1.jpg	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/client-1.jpg	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:10	7855/7855	---M--	200	added ('OK')	image/jpeg	etag:%221eaf-5a652a3209851%22	http://exill.dk/demo/kitzu/template/img/client-2.jpg	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/client-2.jpg	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:11	8335/8335	---M--	200	added ('OK')	image/jpeg	etag:%22208f-5a652a395a9e0%22	http://exill.dk/demo/kitzu/template/img/client-3.jpg	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/client-3.jpg	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:12	89470/89470	---M--	200	added ('OK')	image/jpeg	etag:%2215d7e-5a652a40c3272%22	http://exill.dk/demo/kitzu/template/img/home.jpg	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/home.jpg	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:15	70943/70943	---M--	200	added ('OK')	image/jpeg	etag:%221151f-5a652a5315b58%22	http://exill.dk/demo/kitzu/template/img/info-img.jpg	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/info-img.jpg	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:15	32752/32752	---M--	200	added ('OK')	image/jpeg	etag:%227ff0-5a652a4e28eed%22	http://exill.dk/demo/kitzu/template/img/item-1.jpg	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/item-1.jpg	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:16	28998/28998	---M--	200	added ('OK')	image/jpeg	etag:%227146-5a652a50c9cd7%22	http://exill.dk/demo/kitzu/template/img/item-2.jpg	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/item-2.jpg	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:16	25240/25240	---M--	200	added ('OK')	image/jpeg	etag:%226298-5a652a540ad53%22	http://exill.dk/demo/kitzu/template/img/item-3.jpg	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/item-3.jpg	(from http://exill.dk/demo/kitzu/template/index.html)
11:17:25	90698/90698	---M--	200	added ('OK')	image/jpeg	etag:%221624a-5a652a602974a%22	http://exill.dk/demo/kitzu/template/img/item-4.jpg	D:/MWS/ChintanBharvad/exill.dk/demo/kitzu/template/img/item-4.jpg	(from http://exill.dk/demo/kitzu/template/index.html)
